provincia,anio,monto_nominal,ipc_promedio_anual,monto_real_base2016
Neuquén,2008,842.8265,14.979653147032298,5626.475404518809
Neuquén,2009,877.0925,17.456561530567843,5024.428771176617
Neuquén,2010,1165.1211,21.376348487281444,5450.515090045556
Neuquén,2011,1783.0608,26.570964534575943,6710.561062545396
Neuquén,2012,1975.2146,32.79133180641779,6023.587610471554
Neuquén,2013,2589.8993,40.85103331144704,6339.862397738355
Neuquén,2014,3580.9275,56.976538710053426,6284.91582864115
Neuquén,2015,4462.6982,73.66153516686742,6058.383374566565
Neuquén,2016,5879.9766,100.0,5879.9766
Neuquén,2017,8214.1001,112.88710833333333,7276.384541399878
Neuquén,2018,14340.2300251,151.581675,9460.398181442448
Neuquén,2019,21096.973413800002,232.75109166666667,9064.178072261817
Neuquén,2020,28715.258845,330.5416833333333,8687.333638354537
Neuquén,2021,47000.975587999994,490.55485833333336,9581.186444200437
Neuquén,2022,89949.630349,845.8674583333333,10634.01002873825
Neuquén,2023,195637.733383,1975.006925,9905.673286841768
Neuquén,2024,593663.5905,6317.741325,9396.769509235963
Neuquén,2025,804127.53138,8966.166533333333,8968.465267631507
Río Negro,2003,320.2394,8.396631393694841,3813.903278408442
Río Negro,2004,496.0676,8.767402951109663,5658.090574441024
Río Negro,2005,620.4626,9.612726384123917,6454.595451970181
Río Negro,2006,760.7381,10.660302377959722,7136.177502552211
Río Negro,2007,1009.2789,12.18514230002,8282.865108586737
Río Negro,2008,1245.5248,14.979653147032298,8314.777303416786
Río Negro,2009,1311.8043,17.456561530567843,7514.677490770019
Río Negro,2010,1748.8785,21.376348487281444,8181.371580092607
Río Negro,2011,2592.2245,26.570964534575943,9755.853975969978
Río Negro,2012,2972.3083,32.79133180641779,9064.311012272676
Río Negro,2013,3896.9667,40.85103331144704,9539.456860955375
Río Negro,2014,5365.42471,56.976538710053426,9416.901818666072
Río Negro,2015,6811.3333,73.66153516686742,9246.797917760072
Río Negro,2016,8985.4198,100.0,8985.4198
Río Negro,2017,12504.0511,112.88710833333333,11076.597925671023
Río Negro,2018,21326.4451419,151.581675,14069.276607413134
Río Negro,2019,31422.8716056,232.75109166666667,13500.633393634997
Río Negro,2020,42654.326957,330.5416833333333,12904.371553643183
Río Negro,2021,70047.31208399999,490.55485833333336,14279.200561174068
Río Negro,2022,133493.686761,845.8674583333333,15781.868121990547
Río Negro,2023,292194.998001,1975.006925,14794.631568241213
Río Negro,2024,882218.115053,6317.741325,13964.137967503759
Río Negro,2025,1200653.7588099998,8966.166533333333,13390.937524374034
Salta,2003,486.4705,8.396631393694841,5793.638867668982
Salta,2004,753.5684,8.767402951109663,8595.11538596071
Salta,2005,942.5349,9.612726384123917,9805.073631937154
Salta,2006,1146.9828,10.660302377959722,10759.383358312594
Salta,2007,1515.5809,12.18514230002,12437.941738255386
Salta,2008,1854.5241,14.979653147032298,12380.287325727633
Salta,2009,1924.1819,17.456561530567843,11022.685633883872
Salta,2010,2545.9605,21.376348487281444,11910.174937103044
Salta,2011,3937.8067,26.570964534575943,14819.961446547635
Salta,2012,4323.2321,32.79133180641779,13184.069880180574
Salta,2013,5681.5699,40.85103331144704,13908.0200412163
Salta,2014,7844.98825,56.976538710053426,13768.80454237871
Salta,2015,9675.9211,73.66153516686742,13135.649532800096
Salta,2016,12716.7624,100.0,12716.7624
Salta,2017,17870.8629,112.88710833333333,15830.738481874187
Salta,2018,32678.159997,151.581675,21558.12039746889
Salta,2019,48275.017322,232.75109166666667,20741.048721325365
Salta,2020,65576.865389,330.5416833333333,19839.212025452565
Salta,2021,106991.635514,490.55485833333336,21810.33042410496
Salta,2022,203840.772833,845.8674583333333,24098.429467264352
Salta,2023,444428.23548000003,1975.006925,22502.61656576217
Salta,2024,1337588.47401,6317.741325,21171.941128976185
Salta,2025,1868512.3476,8966.166533333333,20839.590037207876
San Juan,2003,429.023,8.396631393694841,5109.465687896696
San Juan,2004,664.5792,8.767402951109663,7580.114701080167
San Juan,2005,831.2305,9.612726384123917,8647.1877673834
San Juan,2006,1024.4113,10.660302377959722,9609.589518942543
San Juan,2007,1362.2524,12.18514230002,11179.618312686953
San Juan,2008,1686.8723,14.979653147032298,11261.090516866845
San Juan,2009,1787.5409,17.456561530567843,10239.936982262356
San Juan,2010,2386.2993,21.376348487281444,11163.269074789863
San Juan,2011,3472.7894,26.570964534575943,13069.865775783077
San Juan,2012,4042.3575,32.79133180641779,12327.518515758626
San Juan,2013,5278.7591,40.85103331144704,12921.972033742455
San Juan,2014,7261.76035,56.976538710053426,12745.176373303759
San Juan,2015,9168.1732,73.66153516686742,12446.35097440081
San Juan,2016,12076.801,100.0,12076.801
San Juan,2017,16777.943,112.88710833333333,14862.585504855035
San Juan,2018,28608.699407,151.581675,18873.45512378063
San Juan,2019,42107.5675425,232.75109166666667,18091.243843790064
San Juan,2020,57139.550901,330.5416833333333,17286.64001610286
San Juan,2021,93823.03165399999,490.55485833333336,19125.900000820497
San Juan,2022,178855.123784,845.8674583333333,21144.58027932765
San Juan,2023,391432.15639899997,1975.006925,19819.280198169432
San Juan,2024,1180203.45898,6317.741325,18680.78160006021
San Juan,2025,1610936.28388,8966.166533333333,17966.83429747881
San Luis,2003,289.6822,8.396631393694841,3449.981146219266
San Luis,2004,448.7329,8.767402951109663,5118.196374710999
San Luis,2005,561.2582,9.612726384123917,5838.699423786334
San Luis,2006,692.1194,10.660302377959722,6492.49313444395
San Luis,2007,921.8055,12.18514230002,7564.995773569974
San Luis,2008,1143.4004,14.979653147032298,7633.023200050032
San Luis,2009,1214.2726,17.456561530567843,6955.966659721109
San Luis,2010,1620.2448,21.376348487281444,7579.614455499813
San Luis,2011,2344.8749,26.570964534575943,8824.952127532628
San Luis,2012,2743.1919,32.79133180641779,8365.600751425147
San Luis,2013,3583.3801,40.85103331144704,8771.822422900343
San Luis,2014,4927.50119,56.976538710053426,8648.298583168496
San Luis,2015,6448.2953,73.66153516686742,8753.951822199342
San Luis,2016,9964.2838,100.0,9964.2838
San Luis,2017,12926.62,112.88710833333333,11450.926674310982
San Luis,2018,20493.2894,151.581675,13519.63514059335
San Luis,2019,29203.7756,232.75109166666667,12547.213158434524
San Luis,2020,38346.5136,330.5416833333333,11601.11281981027
San Luis,2021,63043.2891,490.55485833333336,12851.424877166728
San Luis,2022,120691.1583,845.8674583333333,14268.329761474155
San Luis,2023,264832.3046,1975.006925,13409.183595647391
San Luis,2024,797971.7348,6317.741325,12630.649052412731
San Luis,2025,1084214.397,8966.166533333333,12092.28484625217
Santa Cruz,2003,200.72,8.396631393694841,2390.482451697519
Santa Cruz,2004,310.9258,8.767402951109663,3546.384279744403
Santa Cruz,2005,388.8942,9.612726384123917,4045.6181156085513
Santa Cruz,2006,482.7114,10.660302377959722,4528.121087803387
Santa Cruz,2007,643.3561,12.18514230002,5279.840679406297
Santa Cruz,2008,802.9141,14.979653147032298,5360.031317941896
Santa Cruz,2009,858.7938,17.456561530567843,4919.604576744297
Santa Cruz,2010,1151.1363,21.376348487281444,5385.093252408876
Santa Cruz,2011,1624.757,26.570964534575943,6114.783668789125
Santa Cruz,2012,1931.625,32.79133180641779,5890.657358485056
Santa Cruz,2013,2518.7129,40.85103331144704,6165.60389255618
Santa Cruz,2014,3456.99792,56.976538710053426,6067.405985456989
Santa Cruz,2015,4531.192,73.66153516686742,6151.367860763927
Santa Cruz,2016,5958.223,100.0,5958.223
Santa Cruz,2017,8234.1566,112.88710833333333,7294.151406275872
Santa Cruz,2018,13670.89959159,151.581675,9018.833966302325
Santa Cruz,2019,20157.240842900002,232.75109166666667,8660.428055808261
Santa Cruz,2020,27323.785341,330.5416833333333,8266.36600426744
Santa Cruz,2021,44969.720952,490.55485833333336,9167.113562953025
Santa Cruz,2022,85401.034814,845.8674583333333,10096.266734539135
Santa Cruz,2023,187593.350831,1975.006925,9498.364206039429
